,question,business,number_of_answers
697,My boyfriend isn't really a getting dressed up kind of guy. Is there a strict dress code? He likes his jeans and band tshirts.,Gordon Ramsay Steak,5
698,My friends and I are thinking of coming to Sunday Brunch and I was wondering what the difference was in menu? (Sunday Brunch vs Sunday Dinner),Wicked Spoon,5
699,My wife and I are planning on being there for Valentine's day. Would we feel out of place if I wore a suit and she wore an elegant dress?,Gordon Ramsay Steak,5
700,Offered a dining credit as part of a promotion .. where can I use these ? Room service?,Bally's Las Vegas Hotel & Casino,5
701,Ok to bring a teenager?,The Peppermill Restaurant & Fireside Lounge,5
702,"Ok, teenagers are allowed how about a10 and 7 yr old early afternoon for lunch and a dessert?",The Peppermill Restaurant & Fireside Lounge,5
703,"Okay, coming in 8 hours from out of town for my boyfriends birthday and am having a lot of trouble deciding between making reservations at Meat & Potatoes and Butcher and the Rye? Can anyone help a girl out?",Meat & Potatoes,5
704,On the website it says 50% off for students with student id.. how does it work if I'm an online student?,High Roller,5
705,Once you order do you have to stick with the first order meat?,Gen Korean BBQ House,5
706,Parking? Is it free or does it require a room key/codes?,The LINQ Hotel & Casino,5
707,Reservations or are walk-ins possible?,High Roller,5
708,Should I bring my own chair?,Little Miss BBQ,5
709,So did you guys move outside of Beijing? That's where it shows as your location on my bookmark 🤣🤣🤣 Super Secret!!,Secret Pizza,5
710,"So for the previous question i asked about total rewards, if buffet if like 60.00$ is it possible to get any discount?",Bacchanal Buffet,5
711,"So if you pay with debit and not credit, they charge 100 a night throughout your stay? Or? I'm confused because that's a lot of money plus your room and all the resort fees?",The Signature at MGM Grand,5
712,So it's $60 for dinner and the buffet of buffet upgrade is $35? What's is the $60 dinner and what is the extra $35 upgrade?,Bacchanal Buffet,5
713,So they have electronic craps?,"South Point Hotel, Casino & Spa",5
714,So they serve lobster for weekend dinner?,Bacchanal Buffet,5
715,Sodium in farm fresh burger?,Joe's Farm Grill,5
716,"Someone said it was All you can eat, cannot find on menu: true or no?",Soho Japanese Restaurant,5
717,Stupid question. Do you have to grill your own? What if you stink at grilling?,Gen Korean BBQ House,5
718,Sunday and Monday dinner menu that same as weekend dinner menu?,Bacchanal Buffet,5
719,"The $5 off for  california residents, do u also need to show Marquee club propf? What is that and is there price to obtain it?",Studio B Buffet,5
720,There are 13 in my group. Is there reservations for 13 and if yes how much per person? and also if we wait in line can we all sit together?,Bacchanal Buffet,5
721,"There's no smoking on here, right? I'm happy there's no smoking people automatically assume your the smoker.

Thank you!",High Roller,5
722,They don't take reservations? So is there usually a long line to get inside ? I want to come for a bachelorette part. Is it worth it?,Wicked Spoon,5
723,They have GlutenFree options?,Secret Pizza,5
724,This buffet will have King Crab legs everyday during brunch and dinner?,Bacchanal Buffet,5
725,This is my favorite place. Had some family in town and took them today at 645 and all lights were on but it was closed. I called all locations with no phones answered. Have they closed. I need my fix haha. I was barely in 1.5 weeks ago?,Tacos El Gordo,5
726,"Trying to find the ""waiting list"" option in this app. Anyone know how to do it? Please help. Thx.",Le Thai,5
727,"Vegan options? I've seen them offer a delicious ALL vegan bday menu in LA (w/ 12 items), & I'd love to have my bday here",TAO Asian Bistro,5
728,Wanted to find out how Nora's is for a group of older couples - perhaps 14 of us? (60's - 70's) Are there some quieter areas of the restaurant?,Nora's Italian Cuisine,5
729,"Wanting to do a fun bottomless mimosa brunch when celebrating a birthday, about what is the cost for brunch + bottomless mimosas? Also I s the brunch buffet style?

Thanks in advance for the info!",HEXX kitchen + bar,5
730,"We are going to our very first show & would like to know which seats are good.  Living social has reduced rates, but only certain sections. I would like a great experience. is it better to sit up high or down close? Are side sections good for viewing",Cirque du Soleil - O,5
731,"We are planning on going Saturday to celebrate my brothers weddi g, we have about 15ppl coming, do they take reservations without having to purchase the VIP package?",Bacchanal Buffet,5
732,We are staying at the Mgm grand Signature and it shows coffee makers. Can anyone advise if it is like at home 8-10 cups or is it a single cup maker?,The Signature at MGM Grand,5
733,We have a party of 11.  One is a Diamond member.  Can we all go through the Diamond Express line as long as that member is with us and we are all seated together?,Bacchanal Buffet,5
734,We have rented a cabana at the adult pool at Mgm. Has anyone had an experience with the cabana at adult pool?,MGM Grand Hotel,5
735,"We plan on joining you on Christmas Day.  My mother is looking forward the crab legs.  Will they be offered all day on Christmas?  If not, what time?",Bacchanal Buffet,5
736,We plan to come here for Sat. dinner. What is the usually wait time?,Studio B Buffet,5
737,We want to buy 8 tickets for today what can we do?,Cirque du Soleil - O,5
738,"We were sitting by the pool and the life guard starts yelling pool closes at 5. We all had to leave the pool area, it is gorgeous and still 76*. Could you please tell me, why your pool closes at 5pm?",Westgate Las Vegas Resort & Casino,5
739,We're getting the brunch groupon for the weekend and it says to use before 10am. It comes with VIP passes. How are the lines Saturday morning? Can we show up around 9:45am and still make it in?,Bacchanal Buffet,5
740,What about parking?,Hakkasan Nightclub,5
741,What are Thanksgiving prices?,The Buffet at Bellagio,5
742,What are kid prices?,Bacchanal Buffet,5
743,What are the Happy Hour times?,The Peppermill Restaurant & Fireside Lounge,5
744,What are the gluten free menu options here?,BBQ House,5
745,"What are the gluten free menu options here? If so, what are they and which sauces?",Gen Korean BBQ House,5
746,What are the gluten-free options available?,Mon Ami Gabi,5
747,What are the options for ordering Thanksgiving dinner?,Little Miss BBQ,5
748,What are the prices for children 5 and under?,Bacchanal Buffet,5
749,What are the prices for children?,Bacchanal Buffet,5
750,What are the prices for kids and seniors for weekend dinner? TIA,Bacchanal Buffet,5
751,What are the prices for kids?,Bacchanal Buffet,5
752,What are the prices for locals? Do locals get discounts?,Bacchanal Buffet,5
753,What are the prices on week days and weekends after noon?,Bacchanal Buffet,5
754,What are their holiday hours? Will they be open on Christmas Day?,The Peppermill Restaurant & Fireside Lounge,5
755,What are your run-out times for Thursday afternoon? What lasts past 1 PM?,Little Miss BBQ,5
756,What benefit do TR platinum members get just for having that card?  ?  How much off weekday B L or D?,Bacchanal Buffet,5
757,What brand of champagne is served in the optional unlimited brunch package?,Bacchanal Buffet,5
758,What days and meals (lunch or dinner) is bone marrow served?,Bacchanal Buffet,5
759,What days do they offer a brunch menu?,LAVO Italian Restaurant & Lounge,5
760,What days do you make beef ribs?,Little Miss BBQ,5
761,"What different items are served on the Fri-Sun ""Gourmet Dinner Buffet"" vs. the regular M-Th dinner buffet?",The Buffet at Bellagio,5
762,What do they have for weeday brunch? Same dishes? Like bone marrow etc?,Wicked Spoon,5
763,"What does getting a ""TIP"" stamp on the receipt mean?",Bacchanal Buffet,5
764,What does it cost to park?,Westgate Las Vegas Resort & Casino,5
765,What drinks are included in the drinks package? I mean the additional cost alcoholic drinks package?,The Buffet at Bellagio,5
766,What exactly is the VIP purchase?  what do you get VIP that you don't get regular?  I ask because I have an opportuinity for a VIP groupon at $88 for two,Bacchanal Buffet,5
767,What food is offered for Christmas buffet? Any seafood?,Studio B Buffet,5
768,What halal dishes do they serve?,Mon Ami Gabi,5
769,What happens after 9 pm the 1st Friday of the month?,Fremont Street Experience,5
770,What if someone goes that doesn't want to eat and just hangout while the rest of the party eats? Do they need to pay?,Gen Korean BBQ House,5
771,What is a great restaurant to try in Las Vegas?,The Buffet at Bellagio,5
772,What is buffet of buffets?,Bacchanal Buffet,5
773,What is included in chefs tasting?,STK Las Vegas,5
774,What is showing in your cinema?,"South Point Hotel, Casino & Spa",5
775,What is the BEST thing on the menu? Thanks!!,Little Miss BBQ,5
776,What is the best way to get to the Linq from the airport? Do they have a shuttle?,The LINQ Hotel & Casino,5
777,What is the biggest difference between the early bird dinner (3pm-5:00) and regular?,Bacchanal Buffet,5
778,What is the concession fee for that's listed at the bottom of the menu?,HEXX kitchen + bar,5
779,What is the corkage policy?,Eiffel Tower,5
780,What is the difference between Friday dinner and Thursday dinner? Why Friday dinner costs more?,Bacchanal Buffet,5
781,What is the difference between the weekday and weekend dinner?,Wicked Spoon,5
782,What is the difference between weekday dinner and weekend dinner besides the price?,Wicked Spoon,5
783,What is the difference between weekdays and weekend dinner?,Bacchanal Buffet,5
784,What is the difference between weekdays and weekends dinner?,Wicked Spoon,5
785,What is the differences between week day dinner and weekend dinner? In particular the food offering difference,Bacchanal Buffet,5
786,What is the dinner pricing for this upcoming Easter weekend?,The Buffet at Bellagio,5
787,What is the estimated wait time on Thanksgiving?,Wicked Spoon,5
788,What is the price for dinner on Thanksgiving Day and on Black Friday this year? Will the menu be available on the website?,Bacchanal Buffet,5
789,What is the price for the breakfast buffet and what is the price for the lunch/dinner buffet?,Wicked Spoon,5
790,What is the price for the lunch buffet?,Bacchanal Buffet,5
791,What is the price per person?,Gangnam Asian BBQ Dining,5
792,What is the price?,Bacchanal Buffet,5
793,What is the rush usually like on Thanksgiving and day before thanksgiving?,Bacchanal Buffet,5
794,What is the the phone number ? We trying to place an order for take out and it goes to answering machine.,Cornish Pasty,5
795,What is the upgrade option for and what does that grant the customer that the regular price does not?,Bacchanal Buffet,5
796,What kind of beer do they offer with seafood buffet?,Studio B Buffet,5
797,What kind of beverages are included in the price ($54.99 for weekend dinner)?  Are soft drinks included?  Thanks!,Bacchanal Buffet,5
798,What kind of cheeses do they have at the charcuterie station?,Bacchanal Buffet,5
799,What kind of cheeses do they have at the charcuterie station?,Wicked Spoon,5
800,What kind of seafood do they have at this buffet?,Bacchanal Buffet,5
801,What kind of seafood is offered during Saturday brunch?,Bacchanal Buffet,5
802,What months is the lazy river open? Planning to book in the first week of September..thanks,MGM Grand Hotel,5
803,What rooms are in the 200.00 range?,MGM Grand Hotel,5
804,"What should I budget for omasake per person? We are women in the 40's, and not really big eaters, but we can eat a regular meal....",Raku,5
805,What size is the express takeaway container? Is it just one container or is the separate options for the food and dessert items?,Wicked Spoon,5
806,What time do the special guests come on? Bday girl turns 21 at midnight.,Hakkasan Nightclub,5
807,What time do they put out the tickets for the line?,Little Miss BBQ,5
808,What time do they stop serving breakfast? Do they serve prime rib and crab during breakfast?,Bacchanal Buffet,5
809,What time do they stop serving food?,Four Peaks Brewing,5
810,What time do you guys open for dinner at 31 December?,Bacchanal Buffet,5
811,What time does brunch end on a Saturday?,HEXX kitchen + bar,5
812,What time does dinner start for Saturday ? And do they carry their famous bone marrow?,Wicked Spoon,5
813,What time does dinner start?,Bacchanal Buffet,5
814,What time does the pool close on weekdays?,The LINQ Hotel & Casino,5
815,What time fremont experience close?,Fremont Street Experience,5
816,What time is brunch in fridays?,HEXX kitchen + bar,5
817,What time is brunch served?,Mon Ami Gabi,5
818,What time is happy hour and what is happy hour special?,Gaucho Parrilla Argentina,5
819,What time is happy hour on a Saturday?,HEXX kitchen + bar,5
820,What time is happy hour?,Julian Serrano Tapas,5
821,What time is happy hour?,Le Thai,5
822,What time is last seating on weekends? When does the food actualy get take away?,Studio B Buffet,5
823,What were you all eating under there?,Four Peaks Brewing,5
824,What would the wait for a party of 2 look like on a weekend during peak hours?,Bacchanal Buffet,5
825,What's a price? Is it a way to get discount?,Bacchanal Buffet,5
826,What's on the menu for lunch seafood buffet?,Studio B Buffet,5
827,"What's on the new ""breakfast fare""menu?",Bacchanal Buffet,5
828,What's the Email address of this restaurant?,Gaucho Parrilla Argentina,5
829,What's the anticipated line/availability at about 1:30 on a Friday?,Little Miss BBQ,5
830,What's the best time to make a reservation for restaurant?,Eiffel Tower,5
831,"What's the camera situation?  Can I bring good camera so long as I don't use flash? Can I bring a camera with interchangeable lens (not that i'd be changing lenses during show, just sometimes thats defined as 'professional' even tho I am amateur)",Absinthe,5
832,What's the cover?,Red,5
833,"What's the difference between Sunday Brunch vs Sunday Dinner other than the price?  King crabs are available for the whole day on the weekend, so what extra items do they have for dinner compare to brunch?  Anybody know?  Thank you.",Bacchanal Buffet,5
834,"What's the difference between brunch and dinner? Watching a video on YouTube, it seems they simply put out more meats and seafood but leave everything from brunch out. Is this true? I'd love to have brunch items along with dinner items.",Bacchanal Buffet,5
835,What's the dress attire like?,Mon Ami Gabi,5
836,What's the dress code?,TAO Asian Bistro,5
837,What's the dress/attire?  Are nice jeans/button up shirt ok for men!,Eiffel Tower,5
838,What's the menu differences from weekday dinner to weekend dinner?  are there more on the weekend dinner for it to cost so much more? or are they just expensive because it's a weekend.,Bacchanal Buffet,5
839,What's the price for brunch?,The Buffet at Bellagio,5
840,What's the price for one adult?,Wicked Spoon,5
841,What's the wait time on a Tues or Weds early evening? Lunch?,Lotus of Siam,5
842,What's the weekend prices?,Bacchanal Buffet,5
843,What's their best steak?,STK Las Vegas,5
844,When are the crab legs severed? Are they served on lunch weekdays?,Bacchanal Buffet,5
845,When do they have Stone crab claws on the buffet there?,Bacchanal Buffet,5
846,When do they serve crab legs? Would they serve them at breakfast on a Wednesday?,Bacchanal Buffet,5
847,When do they serve the king crab legs?,Bacchanal Buffet,5
848,When does brunch end on Sunday?,HEXX kitchen + bar,5
849,When is the best time for lunch if I want to avoid waiting in the long line ? Thank you!,Wicked Spoon,5
850,"When is the best time to call for a reservation for a party of 5/6 during the dates of June 2-5, 2019?",Mon Ami Gabi,5
851,"When is the best time to check this buffet out? (--least busy, if there is such a thing)",Bacchanal Buffet,5
852,When is the best time to come to the buffet? the time with the best collection and variety of food?,Bacchanal Buffet,5
853,When is the best time to go to avoid waiting for a long time?,Gaucho Parrilla Argentina,5
854,When will the pool be open for the 2020 season? Also I've heard rumors of a new theme? Is it still Wet Republic?,MGM Grand Hotel,5
855,When's happy hour?,Hot N Juicy Crawfish,5
856,Where are the oysters ordered from? I'm hoping you'll say Gulf Oysters.,Oyster Bar,5
857,Where can I find cheaper tickets?,Absinthe,5
858,Where can I purchase an express pass? How much would it cost?,Bacchanal Buffet,5
859,Where can I purchase the express pass? Is it worth the wait for 2 people?,Bacchanal Buffet,5
860,Where do you buy tickets?and are muggings often,Fremont Street Experience,5
861,Where is the best place to park when the lot is full?,Little Miss BBQ,5
862,Where is the best place to park? Is there free parking nearby?,Mon Ami Gabi,5
863,Where is the nearest parking for the buffet?  Is there free parking available?,Bacchanal Buffet,5
864,Where is the restaurant? Do you have to pay to take the elevator in order to get to the restaurant?,Eiffel Tower,5
865,Where is your menu?  Is your website broken?,Soho Japanese Restaurant,5
866,"Which day of the week to go here for seafood? Like crab legs, lobster? Cost for adults and kids under 13 year old?",Bacchanal Buffet,5
867,Which is better? Brunch or Dinner? Will be there on a weekday in September and this is on my must do list!,Wicked Spoon,5
868,Which rooms or towers have a balcony?,The Signature at MGM Grand,5
869,Which terminal has the best food selection?,Charlotte Douglas International Airport,5
870,Who is the Food and Beverage Director for the Cafe?,"South Point Hotel, Casino & Spa",5
871,Why is the King Jr. Suite more expensive than the King Suite? Does anyone know which one is better?,The LINQ Hotel & Casino,5
872,Will the pool be open in november?,The LINQ Hotel & Casino,5
873,Will the restaurant be open on Christmas day?,Bacchanal Buffet,5
874,Will there be a special menu for Mother's Day brunch (aka higher price than usual) or am I able to just order off the usual menu?,HEXX kitchen + bar,5
875,Will there be fewer food options during early morning? (like 8AM),Bacchanal Buffet,5
876,Will they deliver to your room if your staying at the cosmo?,Secret Pizza,5
877,"Will they really kick you out after your 2 hour allotment? My husband and I are coming here for our anniversary, without the kids, and want a nice, relaxing meal where we can talk, without babies crying!!",Bacchanal Buffet,5
878,Will they split checks for each person?,STK Las Vegas,5
879,Will they turn you away for visible tattoos?,Hakkasan Nightclub,5
880,Will you be open Christmas night?,Gangnam Asian BBQ Dining,5
881,Will you be open on Labor Day September 7 2020?,Lo-Lo's Chicken & Waffles,5
882,Will you give a tour of gluten free options?,Bacchanal Buffet,5
883,With Yelp check in are you able to bypass the line?,Bacchanal Buffet,5
884,Would it be possible to add the ramen menu for online ordering? That would be awesome!! Not available on Bite Squad...,Bachi Burger,5
885,Would like to take my teenage daughters for dinner. Are they allowed in the restaurant?,TAO Asian Bistro,5
886,Y a t  t il des huitres?,The Buffet at Bellagio,5
887,Years ago you guys had at breakfast peppered bacon and cereal encrusted french toast which both were phenomenal why did you take those items away?,Bacchanal Buffet,5
888,"Younger crowd or older? As in, early 20's or late?",The Peppermill Restaurant & Fireside Lounge,5
